cod_art;ref_prove;des_art;cod_cat;descrip;Cats;Fabricante;precio_v;p.Activo;ruta_img;SHOW_PRICE;codigo
22121;7501710;BOQUILLA TASKI VERTICA 40 CM;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;68,56;1;;0;339
22123;7501620;MANGUERA TASKI VERTICA 3M;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;44,88;1;;0;339
22124;7501670;PROLONGACION 1M TUBO TASKI VERTICA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;47,4363;1;;0;339
22125;8505500;FILTRO VACUMAT 44T;351;RECAMBIOS Y ACCESORIOS;0,130,351;DIVERSEY ESPAÑA, S.L.;0;1;;0;351
22126;7502070;RACORD ANGULAR TASKI VERTICA;276;RECOGEDORES;0,115,276;DIVERSEY ESPAÑA, S.L.;26,3345;1;;0;276
22127;8003810;TASKI ERGODISC 200;334;ROTATIVAS;0,127,334;DIVERSEY ESPAÑA, S.L.;0;1;;0;334
22128;8504750;CEPILLO NYLON 43 CM;346;RECAMBIOS Y ACCESORIOS;0,129,346;DIVERSEY ESPAÑA, S.L.;0;1;;0;346
22129;8004630;TASKI ERGODISC OMNI;334;ROTATIVAS;0,127,334;DIVERSEY ESPAÑA, S.L.;0;1;;0;334
22130;4095550;TAPA PARA AQUAMAT 20;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22131;7518534;FREGADORA TASKI SWINGO 455E;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22339;8504780;CEPILLO CARBORUNDUM 43 CM PARA TASKI 750B;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;0;1;;0;339
22340;;MAQUINA FREGADORA TASKI SWINGO 350E CON CABLE;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22400;;VALVULA MAGNETICA 220-240V  PARA SWINGO 750E;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22530;8504830;CEPILLO CHAMPURIZADOR MOQUETA SECO 43CM.;340;ACCESORIOS MAQUINARIA;0,127,340;DIVERSEY ESPAÑA, S.L.;86,35;1;;0;340
22533;4052110;INTERRUPTOR CENTRIFUGO 4523/58;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;29,79;1;;0;339
22534;4105320;GOMA DE SECADO 12200-07 BLADE 993;;;;DIVERSEY ESPAÑA, S.L.;21,67;1;;0;
22543;4094820;RACORD;;;;DIVERSEY ESPAÑA, S.L.;10,15;1;;0;
22548;8502050;8502050  JUEGO DE BATERIAS;;;;DIVERSEY ESPAÑA, S.L.;537,03;1;;0;
22570;4101740;RELE;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;55,87;1;;0;339
22574;4033030;VALVAULA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;13,71;1;;0;339
22581;4105240;KIT CLIPS (10 CLIPS );339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;22,44;1;;0;339
22602;8504390;DEPOSITO DE AGUA;343;RECAMBIOS Y ACCESORIOS;0,128,343;DIVERSEY ESPAÑA, S.L.;191,62;1;;0;343
22607;4122323;BOTON LAMELO (PAQ. 20U.);339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;18,76;1;;0;339
22609;4089080;FILTRO BABY BORA;346;RECAMBIOS Y ACCESORIOS;0,129,346;DIVERSEY ESPAÑA, S.L.;8,54;1;;0;346
22616;;TANDEM KSV 900;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;2918,7;1;;0;339
22618;4002400;TOPE CORONA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;3,09;1;;0;339
22619;8504180;KIT ACCESORIOS;340;ACCESORIOS MAQUINARIA;0,127,340;DIVERSEY ESPAÑA, S.L.;93,45;1;;0;340
22648;4122936;4122936 ELECTROVALVULA 24V 17607-61;;;;DIVERSEY ESPAÑA, S.L.;46,86;1;;0;
22650;4109490;CUERPO COMPL.MAQUINA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;55,24;1;;0;339
22655;4125271;LABIO SUJECCION POSTERIOR;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;43,02;1;;0;339
22659;4117500;CUERPO VALVULA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;143,82;1;;0;339
22661;4127190;4127190 17609-18 ELECTROVALVULA 24V;;;;DIVERSEY ESPAÑA, S.L.;26,35;1;;0;
22687;4126535;RETEN;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;0,53;1;;0;339
22688;4026220;ARANDELA DE SEGURIDAD;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;0,41;1;;0;339
22701;7514886;BOLSA PAPEL DOBLE FILTRO (1PAQ.X10U.);343;RECAMBIOS Y ACCESORIOS;0,128,343;DIVERSEY ESPAÑA, S.L.;12,75;1;;0;343
22717;4043900;TOPE S.2;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22723;4114580;GOMA RANURADA;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;33,83;1;;0;339
22724;4114590;GOMA SECADO;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;20,05;1;;0;339
22734;7501260;"""""""""""""""TASKI 3M DISCO 17"""""""""""""""" 43cm AZUL (5U)""""""""""""""";272;DISCOS;0,115,272;DIVERSEY ESPAÑA, S.L.;0;1;;0;272
22754;4018630;ARANDELA COBRE;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22766;4127922;VALVULA MAGNET 220-240V;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22767;4099620;VALVULA;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22771;4108350;TAPA DE PLASTICO;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22772;4121580;MUELLE 1/13X24;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22773;4109790;SOPORTE PLASTICO;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22775;4122528;LABIO FRONTAL;;;;DIVERSEY ESPAÑA, S.L.;23,47;1;;0;
22777;4122833;MOTOR CEPILLOS 24 V;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22778;4122571;JUNTA;;;;DIVERSEY ESPAÑA, S.L.;47,01;1;;0;
22779;4108230;INTERRUPTOR 12 A;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;0;1;;0;339
22780;4122529;LABIO DE SECADO;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22781;4123631;MUELLE 2/12X54,8;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22782;4122607;FUSIBLE;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22784;4123022;CEPILLO LATERAL;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;65,1;1;;0;339
22785;4123018;CEPILLO CENTRAL;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;155,88;1;;0;339
22786;412080;FILTRO LAVABLE;339;REPUESTOS MAQUINARIA;0,127,339;DIVERSEY ESPAÑA, S.L.;228,38;1;;0;339
22787;4123132;MOTOR ASPIRACION 24 V;351;RECAMBIOS Y ACCESORIOS;0,130,351;DIVERSEY ESPAÑA, S.L.;0;1;;0;351
22789;4122791;SOPORTE;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22790;4017290;TUBO RECOGIDA PRODUCTOS PARA TASKI OMNI;;;;DIVERSEY ESPAÑA, S.L.;3,27;1;;0;
22791;4126257;4679/122 TURBINA MOTOR 230,240V/50,60HZ;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22792;5959691;"""""""""""""""TASKI AMERICO PAD 17"""""""""""""""" (43CM) MARRON""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;31,34;1;;0;
22793;5960115;"""""""""""""""TASKI AMERICO PADS 21"""""""""""""""" 53 CM BLANCO 1PC""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;44,1;1;;0;
22794;5960078;"""""""""""""""TASKI AMERICO PADS 17"""""""""""""""" (43CM) BLANCO 1PC""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;31,34;1;;0;
22795;4127312;RACORD REGULADOR CAUDAL ECO;;;;DIVERSEY ESPAÑA, S.L.;26,73;1;;0;
22796;4075280;TAPA 17560-00;;;;DIVERSEY ESPAÑA, S.L.;3,34;1;;0;
22797;7523069;"""""""""""""""TASKI AMERICO PAD 21"""""""""""""""" (53CM) MARRON 1PC""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
22798;4122536;LABIO DE SECADO 1200-36;;;;DIVERSEY ESPAÑA, S.L.;38;1;;0;
22799;4122535;GOMA DE ASPIRACION FRONTAL 12200-35;;;;DIVERSEY ESPAÑA, S.L.;29,03;1;;0;
22801;4122530;RUEDA PARA TASKI ERGODIS 165;;;;DIVERSEY ESPAÑA, S.L.;20,26;1;;0;
22802;4130411;SET FILTRO 17421-98;;;;DIVERSEY ESPAÑA, S.L.;10,4;1;;0;
23123;7519289;"""""""""""""""TASKI TWISTER PAD 13"""""""""""""""" BLUE 2PC W1""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;80,85;1;;0;
23128;5871015;"""""""""""""""5871015 TASKI TWISTER PAD 14"""""""""""""""" RED 2PC W1""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;78,38;1;;0;
23154;5871031;"""""""""""""""5871031 TASKI TWISTER PAD 18"""""""""""""""" GREEN 2PC W1""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;80,55;1;;0;
23158;5871035;"""""""""""""""5871035 TASKI TWISTER PAD 20"""""""""""""""" WHITE 2PC W1""""""""""""""";;;;DIVERSEY ESPAÑA, S.L.;88,29;1;;0;
88093;;ZENOX MULTIUSOS COCINAS (2Ux5L);187;OTROS QUIMICOS COCINAS;0,106,187;DIVERSEY ESPAÑA, S.L.;18,84;1;;0;187
900010;7520059;7520059 TASKI SPRINT 200 PUR-ECO QS (2,5L);216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;41;1;C:\SALIDA\img\900010.jpg;0;216
900011;7517828;7517828 TASKI JONTEC 300 PUR-ECO QS (2,5L);216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;38,77;1;C:\SALIDA\img\900011.jpg;0;216
900013;7519075;7519075 ROOM CARE R9.1-PLUS (1,5L);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;43,645;1;C:\SALIDA\img\900013.jpg;0;214
900014;100860440;SOFT CARE DES E Spray H5 (5L);237;LINEA SOFT CARE LINE;0,111,237;DIVERSEY ESPAÑA, S.L.;32,515;1;;0;237
900018;7518447;TASKI JM Ultra Damp Mop Blue 40cm (U);291;SISTEMA JONMASTER;0,117,291;DIVERSEY ESPAÑA, S.L.;12,809;1;;0;291
900019;7518448;7518448 TASKI JM Ultra Damp Blue 60cm (U);291;SISTEMA JONMASTER;0,117,291;DIVERSEY ESPAÑA, S.L.;15,817;1;;0;291
900020;7518443;TASKI JM Ultra Dry Mop 40cm (U) VERDE;291;SISTEMA JONMASTER;0,117,291;DIVERSEY ESPAÑA, S.L.;21,564;1;;0;291
900021;7518444;TASKI JM Ultra Dry Mop 60cm (U);291;SISTEMA JONMASTER;0,117,291;DIVERSEY ESPAÑA, S.L.;9,5455;1;;0;291
900048;7512673;TASKI JONTEC CERAMICA S&MW 5L;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;19,36;1;C:\SALIDA\img\900048.JPG;0;194
900052;7516995;TASKI SPRINT MULTIUSOS (0,75L) B,E,NL,P;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;5,11;1;C:\SALIDA\img\900052.jpg;0;208
900055;;ZENOX MULTIUSOS COCINA (5L);187;OTROS QUIMICOS COCINAS;0,106,187;DIVERSEY ESPAÑA, S.L.;9,42;1;;0;187
