cod_art;cod_artp;des_art;cod_cat;cat;familia;des_fam;nombre;precio_v;cod_pro;ACTIVO;ruta_img
6360;7515072;JD SPRINT 200 CONC (6U.X1L.) Db F.I.E.;213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;97,67;400000001;1;
6370;;TASKI SPRINT 200 NC CONC 5L Cb W561;213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;62,88;400000001;1;
6375;100863401;ROOM CARE R6 (6BOTX750ML);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;25,91;400000001;1;C:\SALIDA\img\006375.JPG
6412;7518112;TASKI SANI DES (2Ux5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;47,15;400000001;1;
6421;7515300;TASKI SANI TRIFORCE (10Ux1,5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;70,55;400000001;1;
6435;7515246;TASKI JONTEC 300 PUR-ECO (2Ux5L);180;GAMA PUR ECO HIGIENE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;39,79;400000001;1;
6440;7515077;TASKI JONTEC 300 CONC 6UX1L Db W1105;213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;74,96;400000001;1;C:\SALIDA\img\006440.JPG
6450;;TASKI JONTEC 300 CONC 5L  Cb W1104;213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;59,12;400000001;1;
6460;7513959;SPRY BTL. 0,50L. SANI 100 W1b 5Pc;286;ACCESORIOS PARA DOSIFICACION;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;C:\SALIDA\img\006460.JPG
6465;7513959;SPRY BTL. 0.50L. SANI 100 W1b 1Pc;220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;0;400000001;1;
6470;7513961;SPRY BTL. 0,5L. SPRINT 200 E1b 5Pc;286;ACCESORIOS PARA DOSIFICACION;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;C:\SALIDA\img\006470.JPG
6475;7513961;SPRY BTL. 0,5L SPRINT 200 E1b 1PC;220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;6,65;400000001;1;
6480;7513979;SPRY BTL. 0,5L. JONTEC 300 F4a 5Pc;286;ACCESORIOS PARA DOSIFICACION;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;C:\SALIDA\img\006480.JPG
6485;7513972;SPRY BTL. 0.5L JONTEC 300 F4a.1PC;220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;6,65;400000001;1;
6490;7513960;BOTELLA PULVERIZADORA 0,5L JD SANI CID 5PC;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6495;7513968;BOT. PULVE. 0,5L JD JONTEC TENSOL 5PC;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6496;7515408;BOTELLA PULV.0,5L JD SANI DES 5PC 7;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
