"codigo";"descrip";"cod_padre";"Activo";"Raiz"
248;"DETERGENTES ACIDOS";"INDUSTRIA Y TRANSPORTE";1;0
249;"CHAMPUES";"INDUSTRIA Y TRANSPORTE";1;0
250;"CERAS";"INDUSTRIA Y TRANSPORTE";1;0
251;"DESPARAFINANTES";"INDUSTRIA Y TRANSPORTE";1;0
252;"DESENGRASANTE MOTORES";"INDUSTRIA Y TRANSPORTE";1;0
253;"OTROS QUIMICOS INDUSTRIA";"INDUSTRIA Y TRANSPORTE";1;0
254;"EQUIPOS";"INDUSTRIA Y TRANSPORTE";1;0
255;"AMBIENTADORES LIQUIDOS";"AMBIENTADORES";1;0
256;"AMBIENTADORES EN AEROSOL";"AMBIENTADORES";1;0
257;"AMBIENTADORES EN RECARGA";"AMBIENTADORES";1;0
258;"LIMPIADORES AMBIENTADORES";"AMBIENTADORES";1;0
259;"AMBIENTADORES SANITARIOS";"AMBIENTADORES";1;0
260;"GAMA GOOD SENSE SERVICE";"AMBIENTADORES";1;0
261;"LAVADO INSTRUMENTAL QUIRURGICO";"LIMPIEZA HOSPITALARIA";1;0
262;"LAVADO CUÑAS";"LIMPIEZA HOSPITALARIA";1;0
263;"DESINFECCION HOSPITALARIA";"LIMPIEZA HOSPITALARIA";1;0
264;"BAYETAS Y PAÑOS";"UTILES DE LIMPIEZA";1;0
265;"SISTEMAS DE FREGADO/BARRIDO PLANO";"UTILES DE LIMPIEZA";1;0
266;"FREGADO TRADICIONAL";"UTILES DE LIMPIEZA";1;0
267;"BARRIDO TRADICIONAL";"UTILES DE LIMPIEZA";1;0
268;"CEPILLOS";"UTILES DE LIMPIEZA";1;0
269;"BASTIDORES Y SOPORTES";"UTILES DE LIMPIEZA";1;0
270;"MOPAS";"UTILES DE LIMPIEZA";1;0
271;"ROLLOS/ALMOHADILLAS/LAMINADOS";"UTILES DE LIMPIEZA";1;0
272;"DISCOS";"UTILES DE LIMPIEZA";1;0
273;"PALOS";"UTILES DE LIMPIEZA";1;0
274;"GASAS";"UTILES DE LIMPIEZA";1;0
275;"CUBOS";"UTILES DE LIMPIEZA";1;0
276;"RECOGEDORES";"UTILES DE LIMPIEZA";1;0
277;"PLUMEROS";"UTILES DE LIMPIEZA";1;0
278;"HARAGANES";"UTILES DE LIMPIEZA";1;0
279;"CARROS";"UTILES DE LIMPIEZA";1;0
280;"BOTELLAS Y PULVERIZADORES";"UTILES DE LIMPIEZA";1;0
281;"GUANTES";"UTILES DE LIMPIEZA";1;0
282;"LANA DE ACERO";"UTILES DE LIMPIEZA";1;0
283;"LIMPIEZA DE CRISTALES";"UTILES DE LIMPIEZA";1;0
284;"ROCIADORAS";"UTILES DE LIMPIEZA";1;0
285;"VARIOS";"UTILES DE LIMPIEZA";1;0
286;"ACCESORIOS PARA DOSIFICACION";"UTILES DE LIMPIEZA";1;0
287;"BAYETAS EN ROLLO";"BAYETAS Y PAÑOS";1;0
288;"BAYETAS UNITARIAS";"BAYETAS Y PAÑOS";1;0
289;"BAYETAS DESECHABLES";"BAYETAS Y PAÑOS";1;0
